scorer,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
43,715.4183959960938,662.3607788085938,0.999998927116394,666.0118408203125,647.5632934570312,0.9999996423721313,713.1593017578125,627.9544677734375,0.9999997615814209,779.892333984375,649.791015625,0.9999966621398926
44,715.3656005859375,662.4005737304688,0.999998927116394,665.96435546875,647.5643920898438,0.9999996423721313,713.1748046875,627.9351806640625,0.9999997615814209,780.0137939453125,649.7813720703125,0.999996542930603
45,715.347412109375,662.3914184570312,0.9999990463256836,665.9453735351562,647.5279541015625,0.9999995827674866,713.0908203125,627.9633178710938,0.9999997019767761,779.998291015625,649.706298828125,0.9999964237213135
46,715.27734375,662.4714965820312,0.9999988675117493,665.92236328125,647.5441284179688,0.9999996423721313,713.1034545898438,627.9703369140625,0.9999996423721313,779.9188232421875,649.7227783203125,0.9999963641166687
47,715.3245239257812,662.4113159179688,0.999998927116394,665.8902587890625,647.5096435546875,0.9999996423721313,713.1111450195312,627.98095703125,0.9999997615814209,780.0997924804688,649.767333984375,0.9999964237213135
48,715.260009765625,662.4754028320312,0.9999989867210388,665.8934936523438,647.4622802734375,0.9999995827674866,713.1300048828125,628.0440063476562,0.9999997615814209,780.1041870117188,649.87548828125,0.9999958276748657
49,715.3224487304688,662.4583740234375,0.999998927116394,665.90869140625,647.496337890625,0.9999995231628418,713.2046508789062,628.0008544921875,0.9999997615814209,780.07568359375,649.7843627929688,0.9999963045120239
50,715.3380126953125,662.4264526367188,0.9999988079071045,665.9153442382812,647.4829711914062,0.9999995827674866,713.2084350585938,628.0020141601562,0.9999997615814209,780.0809936523438,649.8855590820312,0.9999958276748657
51,715.3637084960938,662.410400390625,0.999998927116394,665.8748168945312,647.46240234375,0.9999995827674866,713.2281494140625,627.9915771484375,0.9999998211860657,780.1755981445312,649.840576171875,0.9999960660934448
52,715.386474609375,662.3482055664062,0.9999989867210388,665.7659301757812,647.4931640625,0.9999995827674866,713.1748657226562,627.98095703125,0.9999997615814209,780.1668090820312,649.8392333984375,0.9999962449073792
53,715.3876342773438,662.3680419921875,0.9999988675117493,665.8643798828125,647.4533081054688,0.9999995231628418,713.1954956054688,627.932861328125,0.9999997615814209,780.1282958984375,649.8089599609375,0.9999961853027344
54,715.455810546875,662.3555297851562,0.9999988675117493,665.8628540039062,647.4535522460938,0.9999995231628418,713.2050170898438,627.9237060546875,0.9999997615814209,780.1538696289062,649.8385009765625,0.9999960660934448
55,715.5088500976562,662.30859375,0.9999989867210388,665.867431640625,647.4515380859375,0.9999995231628418,713.2076416015625,627.9868774414062,0.9999997615814209,780.1671142578125,649.9027709960938,0.9999958276748657
56,715.4873657226562,662.2991333007812,0.999998927116394,665.8443603515625,647.4075927734375,0.9999995231628418,713.1979370117188,628.0054321289062,0.9999997019767761,780.25,649.9164428710938,0.9999958276748657
57,715.5535888671875,662.3154296875,0.9999988675117493,665.9620971679688,647.3795166015625,0.9999995231628418,713.2103271484375,627.9893188476562,0.9999997615814209,780.2288208007812,649.9531860351562,0.9999960660934448
58,715.5160522460938,662.3134765625,0.9999988079071045,665.9990234375,647.3785400390625,0.999999463558197,713.2709350585938,627.9058227539062,0.9999996423721313,780.2098999023438,649.888427734375,0.9999961256980896
59,715.5317993164062,662.2801513671875,0.9999988079071045,665.9669799804688,647.3832397460938,0.999999463558197,713.2689819335938,627.9224853515625,0.9999997615814209,780.1640014648438,649.8981323242188,0.9999961853027344
60,715.4390869140625,662.2787475585938,0.9999988079071045,666.00341796875,647.4352416992188,0.9999995231628418,713.2130126953125,627.8841552734375,0.9999998211860657,780.1580810546875,649.8585815429688,0.9999964833259583
61,715.4935913085938,662.2410278320312,0.9999988079071045,666.0400390625,647.4221801757812,0.999999463558197,713.2420654296875,627.8153076171875,0.9999997615814209,780.1116333007812,649.8322143554688,0.9999963045120239
62,715.577880859375,662.1221313476562,0.9999990463256836,666.0914306640625,647.322021484375,0.9999995231628418,713.1934814453125,627.78125,0.9999997019767761,780.2086791992188,649.896484375,0.9999962449073792
63,715.5465698242188,662.14404296875,0.9999990463256836,666.0921630859375,647.3114013671875,0.9999995231628418,713.1969604492188,627.7739868164062,0.9999997615814209,780.1913452148438,649.8877563476562,0.9999963045120239
64,715.60302734375,662.1063232421875,0.9999990463256836,666.01220703125,647.2811889648438,0.999999463558197,713.269287109375,627.8134765625,0.9999997615814209,780.2228393554688,649.913330078125,0.9999960660934448
65,715.69775390625,662.1874389648438,0.999998927116394,665.9227294921875,647.39794921875,0.9999995231628418,713.2741088867188,627.7974243164062,0.9999997019767761,780.262939453125,649.8984985351562,0.9999961853027344
66,715.6256103515625,662.1832885742188,0.999998927116394,666.0225219726562,647.3463134765625,0.9999995231628418,713.2614135742188,627.7816162109375,0.9999997615814209,780.2911987304688,649.8660278320312,0.9999962449073792
67,715.6731567382812,662.1611938476562,0.9999989867210388,666.0330810546875,647.3701171875,0.9999995231628418,713.2593383789062,627.807861328125,0.9999997019767761,780.3424072265625,649.8589477539062,0.9999963045120239
68,715.662109375,662.1461791992188,0.9999989867210388,665.9959716796875,647.4080200195312,0.9999995231628418,713.2447509765625,627.7992553710938,0.9999997615814209,780.3724365234375,649.869873046875,0.9999961256980896
69,715.59765625,662.1632690429688,0.9999989867210388,666.066650390625,647.411865234375,0.9999995231628418,713.2166748046875,627.8009643554688,0.9999997615814209,780.3323364257812,649.875,0.9999961853027344
70,715.60107421875,662.1592407226562,0.999998927116394,666.0755004882812,647.4144287109375,0.9999995231628418,713.2189331054688,627.7952880859375,0.9999997019767761,780.4510498046875,649.9000244140625,0.9999959468841553
71,715.6270141601562,662.1580810546875,0.999998927116394,666.0825805664062,647.4195556640625,0.9999995231628418,713.2620239257812,627.7811889648438,0.9999997615814209,780.3584594726562,649.8796997070312,0.9999961853027344
72,715.6356201171875,662.1473388671875,0.9999989867210388,666.0191650390625,647.4662475585938,0.9999995231628418,713.2382202148438,627.779296875,0.9999997615814209,780.3677368164062,649.8840942382812,0.9999960660934448
73,715.701904296875,662.082763671875,0.999998927116394,666.0192260742188,647.4678955078125,0.999999463558197,713.2841186523438,627.769287109375,0.9999997615814209,780.4205932617188,649.8494873046875,0.9999963641166687
